"DMA","CITY","ST","NETWORK","CALLSIGN","FACIL
ID NO","VIRTUAL CHAN","
DIGITAL CHAN","ANALOG TERMINATION DATE","HRDSHP WVR","NL","SIGNAL & CONSTRUCTION ISSUES","LICENSEE"
"ANCHORAGE","ANCHORAGE","AK","CBS","KTVA",49632,11,28,6/12/09,,,,"ALASKA BROADCASTING COMPANY, INC."
"ANCHORAGE","ANCHORAGE","AK","MYTV","KYES-TV",21488,5,5,6/12/2009,,,"EXT-OPER","FIREWEED COMMUNICATIONS LLC."
"ATLANTA","ATHENS","GA","PBS","WGTV",23948,8,8,2/17/09,,,,"GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION"
"ATLANTA","ATHENS","GA","UNIVISION","WUVG-TV",48813,34,48,6/12/09,,,"2% LOSS","UNIVISION ATLANTA LLC"
"ATLANTA","ATLANTA","GA","FOX","WAGA",70689,5,27,6/12/09,,,,"WAGA LICENSE, INC."
"ATLANTA","ATLANTA","GA","ETV","WATC-DT",13206,57,41,2/17/09,,,,"COMMUNITY TELEVISION, INC."
"ATLANTA","ATLANTA","GA","MYTV","WATL",22819,36,25,6/12/09,,,,"PACIFIC AND SOUTHERN COMPANY, INC."
"ATLANTA","ATLANTA","GA","CBS","WGCL-TV",72120,46,19,6/12/09,,"S",,"MEREDITH CORPORATION"
"ATLANTA","ATLANTA","GA","PBS","WPBA",4190,30,21,6/12/09,,,"2% LOSS","BOARD OF EDUCATION OF THE CITY OF ATLANTA"
"ATLANTA","ATLANTA","GA","IND","WPCH-TV",64033,17,20,6/12/09,,,,"SUPERSTATION, INC."
"ATLANTA","ATLANTA","GA","ABC","WSB-TV",23960,2,39,6/12/09,,,,"GEORGIA TELEVISION COMPANY"
"ATLANTA","ATLANTA","GA","CW","WUPA",6900,69,43,6/12/09,,,,"ATLANTA TELEVISION STATION WUPA INC"
"ATLANTA","ATLANTA","GA","NBC","WXIA-TV",51163,11,10,6/12/09,,,,"PACIFIC AND SOUTHERN COMPANY, INC."
"ATLANTA","MONROE","GA","TBN","WHSG-TV",68058,63,44,4/16/09,,,"2% LOSS","TRINITY BROADCASTING NETWORK"
"ATLANTA","MOUNT CHEAHA","AL","PBS","WCIQ",711,7,7,2/17/09,,,,"ALABAMA EDUCATIONAL TELEVISION COMMISSION"
"ATLANTA","ROME","GA","ION","WPXA-TV",51969,14,51,6/12/09,,,,"ION MEDIA ATLANTA LICENSE, INC."
"AUGUSTA","ALLENDALE","SC","PBS","WEBA-TV",61003,14,33,2/17/09,,,,"SOUTH CAROLINA EDUCATIONAL TV COMMISSION"
"AUGUSTA","AUGUSTA","GA","NBC/CW","WAGT",70699,26,30,2/17/09,,,,"WAGT TELEVISION, INC."
"AUGUSTA","AUGUSTA","GA","FOX","WFXG",3228,54,31,6/12/09,,," ","SOUTHEASTERN MEDIA HOLDINGS, INC."
"AUGUSTA","AUGUSTA","GA","ABC","WJBF",27140,6,42,2/17/09,,,,"MEDIA GENERAL COMMUNICATIONS HOLDINGS, LLC"
"AUGUSTA","AUGUSTA","GA","CBS","WRDW-TV",73937,12,12,2/17/09,,,,"GRAY TELEVISION LICENSEE, LLC"
"AUGUSTA","WRENS","GA","PBS","WCES-TV",23937,20,6,2/17/09,,,"2% LOSS","GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION"
"AUSTIN","AUSTIN","TX","CBS","KEYE-TV",33691,42,43,2/17/09,,,,"AUSTIN TV LICENSEE CORP."
"AUSTIN","AUSTIN","TX","PBS","KLRU",8564,18,22,4/16/09,,,,"CAPITAL OF TEXAS PUBLIC TELECOMMUNICATIONS COUNCIL"
"AUSTIN","AUSTIN","TX","CW","KNVA",144,54,49,6/12/09,,,,"54 BROADCASTING, INC."
"AUSTIN","AUSTIN","TX","FOX","KTBC",35649,7,7,6/12/09,,," PHSD TRAN","KTBC LICENSE, INC."
"AUSTIN","AUSTIN","TX","ABC","KVUE",35867,24,33,6/12/09,,"S",,"KVUE TELEVISION, INC."
"AUSTIN","AUSTIN","TX","NBC","KXAN-TV",35920,36,21,6/12/09,,,,"KXAN, INC."
"AUSTIN","KILLEEN","TX","UNIVISION","KAKW-TV",148,62,13,6/12/09,,,,"KAKW LICENSE PARTNERSHIP, L.P."
"AUSTIN","LLANO","TX","NBC","KXAM-TV",35909,14,27,6/12/09,,,,"KXAN, INC"
"BAKERSFIELD","BAKERSFIELD","CA","CBS","KBAK-TV",4148,29,33,6/12/09,,,,"FISHER BROADCASTING - CALIFORNIA TV, L.L.C."
"BAKERSFIELD","BAKERSFIELD","CA","ABC","KERO-TV",40878,23,10,6/12/09,,,,"MCGRAW-HILL BROADCASTING COMPANY, INC."
"BAKERSFIELD","BAKERSFIELD","CA","NBC","KGET-TV",34459,17,25,6/12/09,,,,"HIGH PLAINS BROADCASTING LICENSE COMPANY LLC"
"BAKERSFIELD","BAKERSFIELD","CA","MYTV","KUVI-TV",7700,45,45,6/12/09,,," ","KUVI LICENSE PARTNERSHIP, G.P."
"BALTIMORE","ANNAPOLIS","MD","PBS","WMPT",65942,22,42,6/12/09,,"S",,"MARYLAND PUBLIC BROADCASTING COMMISSION"
"BALTIMORE","BALTIMORE","MD","NBC","WBAL-TV",65696,11,11,6/12/09,,,"2% LOSS","WBAL HEARST-ARGYLE TV, INC. (CA CORP.)"
"BALTIMORE","BALTIMORE","MD","FOX","WBFF",10758,45,46,2/17/09,,,,"CHESAPEAKE TELEVISION LICENSEE, LLC"
"BALTIMORE","BALTIMORE","MD","CBS","WJZ-TV",25455,13,13,6/12/09,,,"PHASED TRAN","CBS CORPORATION"
"BALTIMORE","BALTIMORE","MD","ABC","WMAR-TV",59442,2,38,6/12/09,,,"2% LOSS","SCRIPPS HOWARD BROADCASTING COMPANY"
"BALTIMORE","BALTIMORE","MD","PBS","WMPB",65944,67,29,6/12/09,,,,"MARYLAND PUBLIC BROADCASTING COMMISSION"
"BALTIMORE","BALTIMORE","MD","CW","WNUV",7933,54,40,2/17/09,,,,"BALTIMORE (WNUV-TV) LICENSEE, INC."
"BALTIMORE","BALTIMORE","MD","MYTV","WUTB",60552,24,41,6/12/09,,,"2% LOSS","FOX TELEVISION STATIONS, INC."
"BANGOR","BANGOR","ME","CBS/CW","WABI-TV",17005,5,19,6/12/09,,,,"COMMUNITY BROADCASTING SERVICE"
"BANGOR","BANGOR","ME","NBC","WLBZ",39644,2,2,6/12/09,,,"2% LOSS/PHSD TRAN","PACIFIC AND SOUTHERN COMPANY, INC."
"BANGOR","BANGOR","ME","ABC","WVII-TV",3667,7,7,2/17/09,,,,"BANGOR COMMUNICATIONS, LLC."
"BANGOR","CALAIS","ME","PBS","WMED-TV",39649,13,10,"Before 2/17/09",,,,"MAINE PUBLIC BROADCASTING CORPORATION"
"BANGOR","ORONO","ME","PBS","WMEB-TV",39648,12,9,"Before 2/17/09",,,"2% LOSS","MAINE PUBLIC BROADCASTING CORPORATION"
"BATON ROUGE","BATON ROUGE","LA","CBS","WAFB",589,9,9,6/12/09,,,"2% LOSS","WAFB LICENSE SUBSIDIARY, LLC"
"BATON ROUGE","BATON ROUGE","LA","ABC","WBRZ-TV",38616,2,13,6/12/09,,,"2% LOSS","LOUISIANA TELEVISION BROADCASTING, LLC"
"BATON ROUGE","BATON ROUGE","LA","FOX","WGMB",12520,44,45,6/12/09,,"S",,"COMCORP OF BATON ROUGE LICENSE CORP."
"BATON ROUGE","BATON ROUGE","LA","PBS","WLPB-TV",38586,27,25,6/12/09,,,,"LOUISIANA EDUCATIONAL TELEVISION AUTHORITY"
"BATON ROUGE","BATON ROUGE","LA","NBC","WVLA",70021,33,34,6/12/09,,,,"KNIGHT BROADCASTING OF BATON ROUGE LICENSE CORP."
"BEAUMONT-PORT ARTHUR","BEAUMONT","TX","ABC","KBMT",10150,12,12,6/12/09,,," ","CHANNEL 12 OF BEAUMONT, INC."
"BEAUMONT-PORT ARTHUR","BEAUMONT","TX","CBS","KFDM-TV",22589,6,21,6/12/09,,,"2% LOSS","FREEDOM BROADCASTING OF TEXAS LICENSEE, L.L.C."
"BEAUMONT-PORT ARTHUR","BEAUMONT","TX","TBN","KITU-TV",12896,34,33,4/16/09,,,,"COMMUNITY EDUCATIONAL TELEVISION, INC."
"BEAUMONT-PORT ARTHUR","PORT ARTHUR","TX","NBC","KBTV-TV",61214,4,40,6/12/09,,,"PHSD TRAN","NEXSTAR BROADCASTING, INC."
"BEND","BEND","OR","PBS","KOAB-TV",50588,3,11,6/12/09,,,,"OREGON PUBLIC BROADCASTING"
"BEND","BEND","OR","ABC","KOHD",166534,,51,"Before 2/17/09",,,,"THREE SISTERS BROADCASTING, LLC"
"BEND","BEND","OR","NBC","KTVZ",55907,21,21,6/12/09,,,"PHASED TRAN","NPG OF OREGON, INC."
"BILLINGS","BILLINGS","MT","ABC","KSVI",5243,6,18,4/16/09,,"C",,"NEXSTAR BROADCASTING, INC."
"BILLINGS","BILLINGS","MT","CBS","KTVQ",35694,2,10,6/12/09,,,,"KTVQ COMMUNICATIONS, INC."
"BILLINGS","BILLINGS","MT","NBC","KULR-TV",35724,8,11,6/12/09,,,,"MMM LICENSE II LLC"
"BILLINGS","HARDIN","MT","FOX","KHMT",47670,4,22,4/16/09,,"C",,"MISSION BROADCASTING, INC."
"BILLINGS","MILES CITY","MT","NBC","KYUS-TV",5237,3,3,6/12/09,,,,"KYUS-TV BROADCASTING CORPORATION"
"BILOXI-GULFPORT","BILOXI","MS","ABC","WLOX",13995,13,13,6/12/09,,,,"WLOX LICENSE SUBSIDIARY, LLC"
"BILOXI-GULFPORT","BILOXI","MS","PBS","WMAH-TV",43197,19,16,2/17/09,,,,"MISSISSIPPI AUTHORITY FOR EDUCATIONAL TELEVISION"
"BILOXI-GULFPORT","GULFPORT","MS","FOX","WXXV-TV",53517,25,48,2/17/09,,,,"MORRIS NETWORK OF MISSISSIPPI, INC."
"BINGHAMTON","BINGHAMTON","NY","CBS","WBNG-TV",23337,12,7,2/17/09,,"E",,"WBNG LICENSE, INC."
"BINGHAMTON","BINGHAMTON","NY","FOX","WICZ-TV",62210,40,8,4/16/09,,"C",,"STAINLESS BROADCASTING, L.P."
"BINGHAMTON","BINGHAMTON","NY","NBC","WIVT",11260,34,34,6/12/09,,,"PHASED TRAN","NEWPORT TELEVISION LICENSE LLC"
"BINGHAMTON","BINGHAMTON","NY","PBS","WSKG-TV",74034,46,42,6/12/09,,,,"WSKG PUBLIC TELECOMMUNICATIONS COUNCIL"
"BINGHAMTON","CORNING","NY","PBS","WSKA",78908,30,30,"DIGITAL ONLY",,,,"WSKG PUBLIC TELECOMMUNICATIONS COUNCIL"
"BIRMINGHAM (ANN TUSC)","ANNISTON","AL","ABC","WJSU-TV",56642,40,9,6/12/09,,,"2% LOSS","TV ALABAMA, INCORPORATED"
"BIRMINGHAM (ANN TUSC)","BESSEMER","AL","CW","WDBB",71325,17,18,2/17/09,,,,"WDBB-TV, INC."
"BIRMINGHAM (ANN TUSC)","BIRMINGHAM","AL","MYTV","WABM",16820,68,36,2/17/09,,,,"BIRMINGHAM (WABM-TV) LICENSEE, INC."
"BIRMINGHAM (ANN TUSC)","BIRMINGHAM","AL","PBS","WBIQ",717,10,10,2/17/09,,,"2% LOSS","ALABAMA EDUCATIONAL TELEVISION COMMISSION"
"BIRMINGHAM (ANN TUSC)","BIRMINGHAM","AL","FOX","WBRC",71221,6,50,6/12/09,,,"2% LOSS/PHSD TRAN","COMMUNITY TELEVISION OF ALABAMA LICENSE, LLC"
"BIRMINGHAM (ANN TUSC)","BIRMINGHAM","AL","CBS","WIAT",5360,42,30,6/12/09,,,,"NVT BIRMINGHAM LICENSEE, LLC"
"BIRMINGHAM (ANN TUSC)","BIRMINGHAM","AL","NBC","WVTM-TV",74173,13,13,6/12/09,,,,"MEDIA GENERAL COMMUNICATIONS HOLDINGS, LLC"
"BIRMINGHAM (ANN TUSC)","GADSDEN","AL","ION","WPXH-TV",73312,44,45,6/12/09,,"S","2% LOSS","ION MEDIA LICENSE COMPANY, LLC"
"BIRMINGHAM (ANN TUSC)","GADSDEN","AL","TBN","WTJP-TV",1002,60,26,4/16/09,,,,"TCCSA, INC., D/B/A TRINITY BROADCASTING NETWORK"
"BIRMINGHAM (ANN TUSC)","HOMEWOOD","AL","CW","WTTO",74138,21,28,2/17/09,,,,"WTTO LICENSEE, LLC"
"BIRMINGHAM (ANN TUSC)","TUSCALOOSA","AL","ABC","WCFT-TV",21258,33,33,6/12/09,,,"2% LOSS/PHSD TRAN","TV ALABAMA, INC."
"BIRMINGHAM (ANN TUSC)","TUSCALOOSA","AL","IND","WUOA",77496,23,6,6/12/09,,,"2% LOSS","THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ALABAMA"
"BLUEFIELD-BECKLEY-OAK HILL","BLUEFIELD","WV","IND","WLFB",37806,40,40,6/12/09,,,,"LIVING FAITH MINISTRIES, INC."
"BLUEFIELD-BECKLEY-OAK HILL","BLUEFIELD","WV","NBC","WVVA",74176,6,46,2/17/09,,"E","2% LOSS","WVVA TELEVISION,  INC."
"BLUEFIELD-BECKLEY-OAK HILL","GRANDVIEW","WV","PBS","WSWP-TV",71680,9,10,6/12/09,,,"PHSD TRAN","WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY"
"BLUEFIELD-BECKLEY-OAK HILL","LEWISBURG","WV","CBS","WVNS-TV",74169,59,8,2/17/09,,,,"WEST VIRGINIA MEDIA HOLDINGS, LLC"
"BLUEFIELD-BECKLEY-OAK HILL","OAK HILL","WV","ABC","WOAY-TV",66804,4,50,6/12/09,,,"2% LOSS","THOMAS BROADCASTING COMPANY"
"BOISE","BOISE","ID","PBS","KAID",62442,4,21,6/12/09,,"S","2% LOSS","STATE BOARD OF EDUCATION, STATE OF IDAHO"
"BOISE","BOISE","ID","CBS","KBCI-TV",49760,2,28,6/12/09,,,"2% LOSS","FISHER BROADCASTING - IDAHO TV, L.L.C."
"BOISE","BOISE","ID","IND","KKJB",35097,39,39,6/12/09,,,,"BOISE TELECASTERS, L.P."
"BOISE","BOISE","ID","NBC","KTVB",34858,7,7,6/12/09,,,,"KING BROADCASTING COMPANY"
"BOISE","CALDWELL","ID","CW","KNIN-TV",59363,9,10,6/12/09,,,,"BANKS-BOISE, INC."
"BOISE","NAMPA","ID","ABC","KIVI",59255,6,24,6/12/09,,,,"JOURNAL BROADCAST CORPORATION"
"BOISE","NAMPA","ID","FOX","KTRV-TV",28230,12,13,6/12/09,,,,"IDAHO INDEPENDENT TELEVISION, INC."
"BOSTON (MANCHESTER)","BOSTON","MA","ION","WBPX-TV",7692,68,32,4/16/09,,,"2% LOSS","ION MEDIA BOSTON LICENSE, INC."
"BOSTON (MANCHESTER)","BOSTON","MA","CBS","WBZ-TV",25456,4,30,6/12/09,,"S",,"CBS CORPORATON"
"BOSTON (MANCHESTER)","BOSTON","MA","ABC","WCVB-TV",65684,5,20,6/12/09,,"S",,"WCVB HEARST-ARGYLE TV, INC."
"BOSTON (MANCHESTER)","BOSTON","MA","FOX","WFXT",6463,25,31,"Before 2/17/09",,," ","FOX TELEVISION STATIONS INC."
"BOSTON (MANCHESTER)","BOSTON","MA","PBS","WGBH-TV",72099,2,19,6/12/09,,"S",,"WGBH EDUCATIONAL FOUNDATION"
"BOSTON (MANCHESTER)","BOSTON","MA","PBS","WGBX-TV",72098,44,43,4/23/09,,,,"WGBH EDUCATIONAL FOUNDATION"
"BOSTON (MANCHESTER)","BOSTON","MA","NBC","WHDH-TV",72145,7,7,6/12/09,,,,"WHDH-TV"
"BOSTON (MANCHESTER)","BOSTON","MA","IND","WSBK-TV",73982,38,39,6/12/09,,,,"CBS CORPORATIOIN"
"BOSTON (MANCHESTER)","CAMBRIDGE","MA","CW","WLVI-TV",73238,56,41,6/12/09,,,,"WHDH-TV"
"BOSTON (MANCHESTER)","CONCORD","NH","ION","WPXG-TV",48406,21,33,4/16/09,,,,"ION MEDIA BOSTON LICENSE, INC."
"BOSTON (MANCHESTER)","DERRY","NH","MYTV","WZMY-TV",14682,50,35,"Before 2/17/09",,,"2% LOSS","SHOOTINGSTAR BROADCASTING OF NEW ENGLAND, LLC"
"BOSTON (MANCHESTER)","DURHAM","NH","PBS","WENH-TV",69237,11,11,2/17/09,,,,"UNIVERSITY OF NEW HAMPSHIRE"
"BOSTON (MANCHESTER)","KEENE","NH","PBS","WEKW-TV",69271,52,49,2/17/09,,,,"UNIVERSITY OF NEW HAMPSHIRE"
"BOSTON (MANCHESTER)","LAWRENCE","MA","IND","WMFP",41436,62,18,2/17/09,,,,"MTB BOSTON LICENSEE LLC."
"BOSTON (MANCHESTER)","MANCHESTER","NH","ABC","WMUR-TV",73292,9,9,6/12/09,,,"2% LOSS","HEARST-ARGYLE PROPERTIES, INC."
"BOSTON (MANCHESTER)","MARLBOROUGH","MA","TELEFUTURA","WUTF-TV",60551,66,27,6/12/09,,,,"TELEFUTURA BOSTON LLC"
